,name,url_ext,color
97,Arkansas,https://www.ncaa.com/schools/arkansas,#BE0F34
98,Xavier,https://www.ncaa.com/schools/xavier,#002857
99,Butler,https://www.ncaa.com/schools/butler,#00467f
100,Bucknell,https://www.ncaa.com/schools/bucknell,#004c8b
101,Florida State,https://www.ncaa.com/schools/florida-st,#540115
102,TCU,https://www.ncaa.com/schools/tcu,#34297a
103,Virginia,https://www.ncaa.com/schools/virginia,#002147
104,Wichita State,https://www.ncaa.com/schools/wichita-st,#141414
105,Texas,https://www.ncaa.com/schools/texas,#CC5500
106,Kansas St.,https://www.ncaa.com/schools/kansas-st,#502d7f
107,West Virginia,https://www.ncaa.com/schools/west-virginia,#00447c
108,Mich. St.,https://www.ncaa.com/schools/michigan-st,#18453B
109,Purdue,https://www.ncaa.com/schools/purdue,#141414
110,Missouri,https://www.ncaa.com/schools/missouri,#F1B82D
111,Charleston,https://www.ncaa.com/schools/col-of-charleston,#772932
112,Clemson,https://www.ncaa.com/schools/clemson,#F66733
113,Creighton,https://www.ncaa.com/schools/creighton,#005CA9
114,CSU Fullerton,https://www.ncaa.com/schools/cal-st-fullerton,#003057
115,Cincinnati,https://www.ncaa.com/schools/cincinnati,#141414
116,Providence,https://www.ncaa.com/schools/providence,#141414
117,New Mexico St.,https://www.ncaa.com/schools/new-mexico-st,#882345
118,Marshall,https://www.ncaa.com/schools/marshall,#11461b
119,North Carolina,https://www.ncaa.com/schools/north-carolina,#8db9e5
120,Auburn,https://www.ncaa.com/schools/auburn,#f58025
121,Murray State,https://www.ncaa.com/schools/murray-st,#e4bb00
122,Texas A&M,https://www.ncaa.com/schools/texas-am,#500000
123,Nevada,https://www.ncaa.com/schools/nevada,#003366
